,Affected WPs,,,,"WP3, WP4","WP3, WP4, WP5","WP4, WP5",WP5,"WP3, WP4, WP5",,,
#,Operation,Actor,Pre-condition,Description,Runs on,AI functionality,Required data,Tools,Sensors ,Outputs/outcomes,Improvement wrt as-is,Remarks
1,Load battery pack on the table and fixturing ,H,,The operator(s) put the battery pack on the working table and setup the fixturing ,H,N/A,None,By hand ,None,The battery pack is fixtured on the table ,TBD,
2,Request battery pack scan,H,"Battery Pack 
fixtured","The operator asks for batery pack scan
additional poses might be required to completely scan the battery pack (manual repositioning by H)","H, H-F, R-F",NLP for H to R-F command,Voice signal,N/A,RealWear,R-F acknowledges the scan request,,
3,Battery pack recognition,R-F,"Battery Pack 
scanned ","A top-view camera takes a picture of the table and identifies the battery  type and model, as well as its shape. If the pack has been treated before, related data (disassembly sequence, position of case screws, EOL scenarios, warnings for critical steps ) are loaded. If not,a  learning by demonstration process can be triggered (H teaches R how to perform disassembly).
In  case top cam does not recognize all screws H can indicate the missing ones with Realwear support",R-F,"Object recognition (pack, screws),  localization
NLP for H to R knowledge recording
Generate/Load valid disassembly process ",Battery pack pictures and/or CADs,N/A,"RGB / RGBD  camera
RealWear","C1.The battery pack is recognized and all information loaded (type, shape, etc). 
GUI output: pack model, list of associated disassembly tasks, salient features, exact position and orientation of battery pack features. Case screws were tagged.
C2. Battery pack unrecognized --> R learning routine (to be elaborated)",,"""GUI""  means a screen near the inspection desk, or the RealWear display. To be decided."
,,,,,,,,,,,,
4,Remove case screws,"H, R, H+R","Battery pack 
- C1. recognized
- C2. unrecognized

","If C1 is true (pack recognized) the disassembly of the battery pack case can start with the removal of the tagged  screws. Three  scenarios are possible to remove the screws:
-S1. H completes the operation alone 
-S2. R completes the operation alone
-S3. H and R collaborate to complete the operation ","H, R,
H-F,R-F","R-F makes suggestions based on the operator's  profile characterization (previous knowledge acquired with task execution, operator interaction preferences for task execution).
NLP for the selection, execution and completion of the working scenario.",Battery pack disassembly sequence,N/A,,H validates the execution scenario to remove the screws,,
4.1,Tool change ,"H, R , H+R","Positions of case 
screws identified. 

Scenario for operation execution validated. ","For S2 scenario R informs H about the step-by-step procedure to execute the oepration and ask for confirmation 
For S3 scenario H and R can operate the tool change simultaneously. ","H,R
H-F,R-F",NLP for H to R commands,"Goal position for the robot  tool change 
Location of the screwdriver ","H screwdriver 
R screwdriver","Headset 
Camera ","R screwdriver loaded  
H  screwdriver grasped",,
4.2,Unscrewing ,"H, R , H+R","Unscrewing tools 
ready ","S1. H1 performs the task. R learns to do it itself or R recognizes it is done by H1. 
S2. R perform the task if asked by H1. In case the robot struggles with the task (force feedback ) H1 assistance is solicited 
S3. H2 does not know how to perform the tasks. F suggests R can share knowledge on task execution (R  teaches H) or F suggests R can handle the task","H,R","R-F makes suggestions based on the operator's profile characterization and current  emotional status (human behavior/activity and emotion recognition). 
R takes over unscrewing job after prior H validation.  
R learns the task (learning by demo)
NLP for H to R commands/assistance ",,"H screwdriver 
R screwdriver","
Robot  Camera
Force Sensor 
Physiological sensors
Realwear",Outer case screws removed ,,
,,,,,,,,,,,,
